,word,afinn_score,sentiment,bing_score,combined_score
5841,rejoices,4.0,4.0,0.0,3.0
6920,super,3.0,3.0,3.0,3.0
3776,impress,3.0,3.0,3.0,3.0
4966,nice,3.0,3.0,3.0,3.0
7899,wowow,4.0,4.0,0.0,3.0
3777,impressed,3.0,3.0,3.0,3.0
3778,impresses,3.0,3.0,3.0,3.0
508,award,3.0,3.0,3.0,3.0
509,awarded,3.0,3.0,3.0,3.0
7901,wowww,4.0,4.0,0.0,3.0
510,awards,3.0,3.0,3.0,3.0
5247,paradise,3.0,3.0,3.0,3.0
6064,roflcopter,4.0,4.0,0.0,3.0
595,beautiful,3.0,3.0,3.0,3.0
2443,enrapture,3.0,3.0,3.0,3.0
5609,prosperous,3.0,3.0,3.0,3.0
597,beautifully,3.0,3.0,3.0,3.0
6591,sparkle,3.0,3.0,3.0,3.0
598,beautify,3.0,3.0,3.0,3.0
3243,gracious,3.0,3.0,3.0,3.0
1642,delight,3.0,3.0,3.0,3.0
1643,delighted,3.0,3.0,3.0,3.0
6593,sparkling,3.0,3.0,3.0,3.0
7863,wooo,4.0,4.0,0.0,3.0
6877,successful,3.0,3.0,3.0,3.0
7864,woow,4.0,4.0,0.0,3.0
4090,inspiring,3.0,3.0,3.0,3.0
4086,inspirational,2.0,2.0,3.0,2.25
4489,lively,2.0,2.0,3.0,2.25
500,avid,2.0,2.0,3.0,2.25
573,bargain,2.0,2.0,3.0,2.25
4087,inspire,2.0,2.0,3.0,2.25
2602,exhilarates,3.0,3.0,0.0,2.25
2601,exhilarated,3.0,3.0,0.0,2.25
6283,serene,2.0,2.0,3.0,2.25
6147,satisfied,2.0,2.0,3.0,2.25
7591,useful,2.0,2.0,3.0,2.25
3185,glamourous,3.0,3.0,0.0,2.25
4505,lol,3.0,3.0,0.0,2.25
450,astounds,3.0,3.0,0.0,2.25
635,benefits,2.0,2.0,3.0,2.25
3271,greater,3.0,3.0,0.0,2.25
6009,rich,2.0,2.0,3.0,2.25
6000,reward,2.0,2.0,3.0,2.25
6002,rewarding,2.0,2.0,3.0,2.25
5943,responsive,2.0,2.0,3.0,2.25
466,attraction,2.0,2.0,3.0,2.25
5269,passionate,2.0,2.0,3.0,2.25
5549,privileged,2.0,2.0,3.0,2.25
2953,fondness,2.0,2.0,3.0,2.25
816,brave,2.0,2.0,3.0,2.25
4185,invincible,2.0,2.0,3.0,2.25
2951,fond,2.0,2.0,3.0,2.25
5944,restful,2.0,2.0,3.0,2.25
6023,right direction,3.0,3.0,0.0,2.25
7304,unbiased,2.0,2.0,3.0,2.25
2609,exonerate,2.0,2.0,3.0,2.25
3103,funny,4.0,4.0,-3.0,2.25
4158,intricate,2.0,2.0,3.0,2.25
3405,hardy,2.0,2.0,3.0,2.25
3350,haha,3.0,3.0,0.0,2.25
4406,lawl,3.0,3.0,0.0,2.25
4085,inspiration,2.0,2.0,3.0,2.25
734,blithe,2.0,2.0,3.0,2.25
5400,playful,2.0,2.0,3.0,2.25
5780,recommended,2.0,2.0,3.0,2.25
722,bless,2.0,2.0,3.0,2.25
442,astonished,2.0,2.0,3.0,2.25
3353,hail,2.0,2.0,3.0,2.25
594,beauties,3.0,3.0,0.0,2.25
4046,innovative,2.0,2.0,3.0,2.25
4474,like,2.0,2.0,3.0,2.25
6198,scoop,3.0,3.0,0.0,2.25
591,beatific,3.0,3.0,0.0,2.25
4548,loving,2.0,2.0,3.0,2.25
4542,lovelies,3.0,3.0,0.0,2.25
5989,revives,2.0,2.0,3.0,2.25
4130,interesting,2.0,2.0,3.0,2.25
3352,hahahah,3.0,3.0,0.0,2.25
666,better,2.0,2.0,3.0,2.25
5475,praises,3.0,3.0,0.0,2.25
3351,hahaha,3.0,3.0,0.0,2.25
4476,likes,2.0,2.0,3.0,2.25
3400,hardier,2.0,2.0,3.0,2.25
4125,intelligent,2.0,2.0,3.0,2.25
3258,gratification,2.0,2.0,3.0,2.25
4006,influential,2.0,2.0,3.0,2.25
4564,luckily,3.0,3.0,0.0,2.25
4475,liked,2.0,2.0,3.0,2.25
6236,secure,2.0,2.0,3.0,2.25
2991,fortunate,2.0,2.0,3.0,2.25
5777,recommend,2.0,2.0,3.0,2.25
6035,rigorous,3.0,3.0,0.0,2.25
6036,rigorously,3.0,3.0,0.0,2.25
5988,revive,2.0,2.0,3.0,2.25
5257,pardon,2.0,2.0,3.0,2.25
6057,robust,2.0,2.0,3.0,2.25
634,benefit,2.0,2.0,3.0,2.25
4682,meaningful,2.0,2.0,3.0,2.25
842,brightest,2.0,2.0,3.0,2.25
1227,confident,2.0,2.0,3.0,2.25
3607,humour,2.0,2.0,3.0,2.25
3793,improvement,2.0,2.0,3.0,2.25
3608,humourous,2.0,2.0,3.0,2.25
3792,improved,2.0,2.0,3.0,2.25
3791,improve,2.0,2.0,3.0,2.25
2805,favorited,2.0,2.0,3.0,2.25
2804,favorite,2.0,2.0,3.0,2.25
2803,favored,2.0,2.0,3.0,2.25
2801,favor,2.0,2.0,3.0,2.25
1250,congratulate,2.0,2.0,3.0,2.25
1251,congratulation,2.0,2.0,3.0,2.25
1252,congratulations,2.0,2.0,3.0,2.25
4983,noble,2.0,2.0,3.0,2.25
6953,survivor,2.0,2.0,3.0,2.25
6643,sprightly,2.0,2.0,3.0,2.25
6978,sweet,2.0,2.0,3.0,2.25
1226,confidence,2.0,2.0,3.0,2.25
4970,nifty,2.0,2.0,3.0,2.25
3605,humorous,2.0,2.0,3.0,2.25
1160,commitment,2.0,2.0,3.0,2.25
1171,compassionate,2.0,2.0,3.0,2.25
6592,sparkles,3.0,3.0,0.0,2.25
1175,competitive,2.0,2.0,3.0,2.25
3596,humerous,3.0,3.0,0.0,2.25
1648,delights,3.0,3.0,0.0,2.25
1194,comprehensive,2.0,2.0,3.0,2.25
1647,delighting,3.0,3.0,0.0,2.25
2815,fearless,2.0,2.0,3.0,2.25
1208,conciliate,2.0,2.0,3.0,2.25
6611,spirited,2.0,2.0,3.0,2.25
3796,improving,2.0,2.0,3.0,2.25
3604,humor,2.0,2.0,3.0,2.25
6985,swift,2.0,2.0,3.0,2.25
3795,improves,2.0,2.0,3.0,2.25
2698,fair,2.0,2.0,3.0,2.25
6938,supports,2.0,2.0,3.0,2.25
6570,sophisticated,2.0,2.0,3.0,2.25
6875,success,2.0,2.0,3.0,2.25
6733,stimulating,2.0,2.0,3.0,2.25
3129,gaining,2.0,2.0,3.0,2.25
3130,gains,2.0,2.0,3.0,2.25
1395,creative,2.0,2.0,3.0,2.25
2732,fan,3.0,3.0,0.0,2.25
1499,daring,2.0,2.0,3.0,2.25
6842,suave,2.0,2.0,3.0,2.25
1472,cute,2.0,2.0,3.0,2.25
2754,fascinates,3.0,3.0,0.0,2.25
2753,fascinated,3.0,3.0,0.0,2.25
4883,motivated,2.0,2.0,3.0,2.25
6798,strongest,2.0,2.0,3.0,2.25
6797,stronger,2.0,2.0,3.0,2.25
6796,strong,2.0,2.0,3.0,2.25
3136,gallantry,3.0,3.0,0.0,2.25
1514,dauntless,2.0,2.0,3.0,2.25
3126,gained,2.0,2.0,3.0,2.25
6937,supportive,2.0,2.0,3.0,2.25
3125,gain,2.0,2.0,3.0,2.25
6933,supported,2.0,2.0,3.0,2.25
6932,support,2.0,2.0,3.0,2.25
1590,defender,2.0,2.0,3.0,2.25
6927,superior,2.0,2.0,3.0,2.25
6663,stable,2.0,2.0,3.0,2.25
5622,proud,2.0,2.0,3.0,2.25
1578,dedicated,2.0,2.0,3.0,2.25
1323,cool stuff,3.0,3.0,0.0,2.25
3156,generous,2.0,2.0,3.0,2.25
6701,steadfast,2.0,2.0,3.0,2.25
1351,courage,2.0,2.0,3.0,2.25
1352,courageous,2.0,2.0,3.0,2.25
1355,courteous,2.0,2.0,3.0,2.25
3756,important,2.0,2.0,3.0,2.25
1532,dearly,3.0,3.0,0.0,2.25
3590,hug,2.0,2.0,3.0,2.25
1154,commend,2.0,2.0,3.0,2.25
5551,proactive,2.0,2.0,3.0,2.25
7208,treasure,2.0,2.0,3.0,2.25
1818,devoted,3.0,3.0,0.0,2.25
7185,tranquil,2.0,2.0,3.0,2.25
959,captivated,3.0,3.0,0.0,2.25
4675,mature,2.0,2.0,3.0,2.25
6439,slick,2.0,2.0,3.0,2.25
5474,praised,3.0,3.0,0.0,2.25
5581,prominent,2.0,2.0,3.0,2.25
4686,medal,3.0,3.0,0.0,2.25
7151,tops,2.0,2.0,3.0,2.25
3525,hilarious,2.0,2.0,3.0,2.25
996,celebrates,3.0,3.0,0.0,2.25
997,celebrating,3.0,3.0,0.0,2.25
7145,top,2.0,2.0,3.0,2.25
6476,smarter,2.0,2.0,3.0,2.25
6477,smartest,2.0,2.0,3.0,2.25
3504,hero,2.0,2.0,3.0,2.25
932,calming,2.0,2.0,3.0,2.25
2849,festive,2.0,2.0,3.0,2.25
930,calm,2.0,2.0,3.0,2.25
849,brisk,2.0,2.0,3.0,2.25
3460,healthy,2.0,2.0,3.0,2.25
5106,optimistic,2.0,2.0,3.0,2.25
5105,optimism,2.0,2.0,3.0,2.25
3472,heaven,2.0,2.0,3.0,2.25
2873,fine,2.0,2.0,3.0,2.25
6391,sincere,2.0,2.0,3.0,2.25
6392,sincerely,2.0,2.0,3.0,2.25
6394,sincerity,2.0,2.0,3.0,2.25
905,buoyant,2.0,2.0,3.0,2.25
7240,trusted,2.0,2.0,3.0,2.25
5574,progress,2.0,2.0,3.0,2.25
3495,helpful,2.0,2.0,3.0,2.25
3496,helping,2.0,2.0,3.0,2.25
5082,once-in-a-lifetime,3.0,3.0,0.0,2.25
3541,honest,2.0,2.0,3.0,2.25
3543,honor,2.0,2.0,3.0,2.25
6568,soothing,3.0,3.0,0.0,2.25
1083,clarity,2.0,2.0,3.0,2.25
1088,cleaner,2.0,2.0,3.0,2.25
2670,exultantly,3.0,3.0,0.0,2.25
1098,clever,2.0,2.0,3.0,2.25
7072,thankful,2.0,2.0,3.0,2.25
7071,thank,2.0,2.0,3.0,2.25
7045,tender,2.0,2.0,3.0,2.25
6555,solid,2.0,2.0,3.0,2.25
6556,solidarity,2.0,2.0,3.0,2.25
4744,mirth,3.0,3.0,0.0,2.25
4745,mirthful,3.0,3.0,0.0,2.25
4746,mirthfully,3.0,3.0,0.0,2.25
1147,comfort,2.0,2.0,3.0,2.25
1148,comfortable,2.0,2.0,3.0,2.25
1150,comforting,2.0,2.0,3.0,2.25
6567,soothed,3.0,3.0,0.0,2.25
1087,clean,2.0,2.0,3.0,2.25
7079,thoughtful,2.0,2.0,3.0,2.25
3545,honored,2.0,2.0,3.0,2.25
1735,desirable,2.0,2.0,3.0,2.25
2846,fervid,2.0,2.0,3.0,2.25
3546,honoring,2.0,2.0,3.0,2.25
6487,smile,2.0,2.0,3.0,2.25
6489,smiles,2.0,2.0,3.0,2.25
6490,smiling,2.0,2.0,3.0,2.25
2844,fervent,2.0,2.0,3.0,2.25
4708,mercy,2.0,2.0,3.0,2.25
5723,rapture,2.0,2.0,3.0,2.25
1047,cheer,2.0,2.0,3.0,2.25
1049,cheerful,2.0,2.0,3.0,2.25
1055,cherish,2.0,2.0,3.0,2.25
1056,cherished,2.0,2.0,3.0,2.25
1060,chic,2.0,2.0,3.0,2.25
3557,hopeful,2.0,2.0,3.0,2.25
1739,desirous,2.0,2.0,3.0,2.25
392,approval,2.0,2.0,3.0,2.25
4300,jovial,2.0,2.0,3.0,2.25
5373,picturesque,2.0,2.0,3.0,2.25
5460,positively,2.0,2.0,3.0,2.25
2427,enjoys,2.0,2.0,3.0,2.25
2428,enlighten,2.0,2.0,3.0,2.25
5289,peaceful,2.0,2.0,3.0,2.25
7862,woohoo,3.0,3.0,0.0,2.25
225,agreeable,2.0,2.0,3.0,2.25
2347,elegantly,2.0,2.0,3.0,2.25
2346,elegant,2.0,2.0,3.0,2.25
5866,remarkable,2.0,2.0,3.0,2.25
5848,relaxed,2.0,2.0,3.0,2.25
4193,invulnerable,2.0,2.0,3.0,2.25
264,amazed,2.0,2.0,3.0,2.25
7884,worshiped,3.0,3.0,0.0,2.25
7886,worth,2.0,2.0,3.0,2.25
5459,positive,2.0,2.0,3.0,2.25
7893,worthy,2.0,2.0,3.0,2.25
2456,entertaining,2.0,2.0,3.0,2.25
5287,peace,2.0,2.0,3.0,2.25
70,accomplished,2.0,2.0,3.0,2.25
69,accomplish,2.0,2.0,3.0,2.25
374,applaud,2.0,2.0,3.0,2.25
123,admired,3.0,3.0,0.0,2.25
125,admires,3.0,3.0,0.0,2.25
2425,enjoying,2.0,2.0,3.0,2.25
2421,enjoy,2.0,2.0,3.0,2.25
2397,endorsed,2.0,2.0,3.0,2.25
5470,powerful,2.0,2.0,3.0,2.25
2398,endorsement,2.0,2.0,3.0,2.25
2399,endorses,2.0,2.0,3.0,2.25
163,adventurous,2.0,2.0,3.0,2.25
2403,energetic,2.0,2.0,3.0,2.25
2387,encouragement,2.0,2.0,3.0,2.25
159,advantages,2.0,2.0,3.0,2.25
7699,vitality,3.0,3.0,0.0,2.25
7835,winwin,3.0,3.0,0.0,2.25
4234,irresistible,2.0,2.0,3.0,2.25
156,advantage,2.0,2.0,3.0,2.25
2385,encourage,2.0,2.0,3.0,2.25
2382,enchanted,2.0,2.0,3.0,2.25
5925,resolute,2.0,2.0,3.0,2.25
7689,virtuous,2.0,2.0,3.0,2.25
143,adores,3.0,3.0,0.0,2.25
5290,peacefully,2.0,2.0,3.0,2.25
7823,willingness,2.0,2.0,3.0,2.25
263,amaze,2.0,2.0,3.0,2.25
2396,endorse,2.0,2.0,3.0,2.25
381,appreciated,2.0,2.0,3.0,2.25
2316,effective,2.0,2.0,3.0,2.25
292,amusement,3.0,3.0,0.0,2.25
293,amusements,3.0,3.0,0.0,2.25
382,appreciates,2.0,2.0,3.0,2.25
380,appreciate,2.0,2.0,3.0,2.25
3205,glorious,2.0,2.0,3.0,2.25
2287,earnest,2.0,2.0,3.0,2.25
7934,youthful,2.0,2.0,3.0,2.25
7936,yummy,3.0,3.0,0.0,2.25
3207,glory,2.0,2.0,3.0,2.25
7737,warmth,2.0,2.0,3.0,2.25
3023,freedom,2.0,2.0,3.0,2.25
7773,welcome,2.0,2.0,3.0,2.25
271,ambitious,2.0,2.0,3.0,2.25
2291,ease,2.0,2.0,3.0,2.25
291,amused,3.0,3.0,0.0,2.25
266,amazes,2.0,2.0,3.0,2.25
2514,ethical,2.0,2.0,3.0,2.25
3042,friendly,2.0,2.0,3.0,2.25
2284,eager,2.0,2.0,3.0,2.25
4298,jolly,2.0,2.0,3.0,2.25
7762,wealth,3.0,3.0,0.0,2.25
2317,effectively,2.0,2.0,3.0,2.25
7763,wealthy,2.0,2.0,3.0,2.25
2298,easy,1.0,1.0,3.0,1.5
964,carefully,2.0,2.0,0.0,1.5
6441,slickest,2.0,2.0,0.0,1.5
6440,slicker,2.0,2.0,0.0,1.5
3089,fulfills,2.0,2.0,0.0,1.5
967,cares,2.0,2.0,0.0,1.5
4338,kinder,2.0,2.0,0.0,1.5
6475,smart,1.0,1.0,3.0,1.5
963,careful,2.0,2.0,0.0,1.5
6157,saved,2.0,2.0,0.0,1.5
4045,innovation,1.0,1.0,3.0,1.5
962,carefree,1.0,1.0,3.0,1.5
3505,heroes,2.0,2.0,0.0,1.5
961,care,2.0,2.0,0.0,1.5
2388,encourages,2.0,2.0,0.0,1.5
5583,promised,1.0,1.0,3.0,1.5
5582,promise,1.0,1.0,3.0,1.5
7447,unmatched,1.0,1.0,3.0,1.5
1786,determined,2.0,2.0,0.0,1.5
3054,frisky,2.0,2.0,0.0,1.5
5727,raptures,2.0,2.0,0.0,1.5
2386,encouraged,2.0,2.0,0.0,1.5
3354,hailed,2.0,2.0,0.0,1.5
951,capable,1.0,1.0,3.0,1.5
4054,inquisitive,2.0,2.0,0.0,1.5
1013,chance,2.0,2.0,0.0,1.5
3086,fulfill,2.0,2.0,0.0,1.5
1014,chances,2.0,2.0,0.0,1.5
5733,ratified,2.0,2.0,0.0,1.5
3087,fulfilled,2.0,2.0,0.0,1.5
3524,highlight,2.0,2.0,0.0,1.5
5584,promises,1.0,1.0,3.0,1.5
7141,tolerant,2.0,2.0,0.0,1.5
3021,free,1.0,1.0,3.0,1.5
6239,secures,2.0,2.0,0.0,1.5
2372,empathetic,2.0,2.0,0.0,1.5
2610,exonerated,2.0,2.0,0.0,1.5
2895,flagship,2.0,2.0,0.0,1.5
723,blesses,2.0,2.0,0.0,1.5
839,bright,1.0,1.0,3.0,1.5
2612,exonerating,2.0,2.0,0.0,1.5
7774,welcomed,2.0,2.0,0.0,1.5
2585,exclusive,2.0,2.0,0.0,1.5
2611,exonerates,2.0,2.0,0.0,1.5
7775,welcomes,2.0,2.0,0.0,1.5
5134,outreach,2.0,2.0,0.0,1.5
5077,oks,2.0,2.0,0.0,1.5
5761,reassuring,2.0,2.0,0.0,1.5
3982,infatuated,2.0,2.0,0.0,1.5
3983,infatuation,2.0,2.0,0.0,1.5
781,boost,1.0,1.0,3.0,1.5
768,boldly,2.0,2.0,0.0,1.5
767,bold,2.0,2.0,0.0,1.5
6248,self-confident,2.0,2.0,0.0,1.5
7376,unequaled,2.0,2.0,0.0,1.5
6377,significant,1.0,1.0,3.0,1.5
5093,opportunity,2.0,2.0,0.0,1.5
5092,opportunities,2.0,2.0,0.0,1.5
5781,recommends,2.0,2.0,0.0,1.5
4342,kiss,2.0,2.0,0.0,1.5
5528,pretty,1.0,1.0,3.0,1.5
3238,grace,1.0,1.0,3.0,1.5
6237,secured,2.0,2.0,0.0,1.5
5078,ominous,3.0,3.0,-3.0,1.5
3902,indestructible,2.0,2.0,0.0,1.5
3032,fresh,1.0,1.0,3.0,1.5
7209,treasures,2.0,2.0,0.0,1.5
3500,helps,2.0,2.0,0.0,1.5
934,calms,2.0,2.0,0.0,1.5
931,calmed,2.0,2.0,0.0,1.5
212,agog,2.0,2.0,0.0,1.5
5941,responsible,2.0,2.0,0.0,1.5
3493,help,2.0,2.0,0.0,1.5
7236,true,2.0,2.0,0.0,1.5
7239,trust,1.0,1.0,3.0,1.5
6393,sincerest,2.0,2.0,0.0,1.5
5758,reassure,1.0,1.0,3.0,1.5
1052,cheers,2.0,2.0,0.0,1.5
